0.374,-0.274,0.713,-0.732,2.014,31.311
0.258,-0.19,1.04,34.606,7.019,11.535
0.103,0.089,1.097,-18.127,38.879,-19.226
0.174,0.053,1.06,40.222,0.0,-17.7
0.423,0.011,0.934,-55.48,17.944,6.347
0.28,0.009,0.933,-3.112,-0.061,5.859
0.222,0.001,0.998,-6.652,4.577,7.324
0.135,0.0,0.952,5.004,-9.643,-2.258
0.233,-0.035,1.06,-27.954,12.878,4.394
0.194,-0.013,0.992,11.108,-9.887,-4.089
0.213,-0.028,0.966,-14.221,-10.803,3.051
0.269,-0.065,0.999,-24.902,9.155,6.774
0.188,0.003,0.94,12.207,-14.587,-15.136
0.326,-0.02,0.969,-6.713,-0.915,-9.887
0.285,0.0,0.981,1.464,1.77,-9.643
0.342,-0.012,0.961,0.488,0.854,-1.22
0.311,-0.006,0.942,2.502,-1.708,1.831
0.304,-0.027,0.986,0.488,2.685,4.76
0.272,-0.026,0.964,5.065,1.77,5.126
0.256,-0.044,0.969,3.54,1.892,6.713
0.851,0.129,0.495,0.305,-1.831,0.0
0.856,0.135,0.502,0.122,-2.014,0.183
0.854,0.133,0.5,0.0,-2.075,0.183
0.854,0.135,0.502,0.0,-0.915,-0.122
0.849,0.134,0.501,0.366,0.549,-0.427
0.85,0.136,0.5,0.305,0.61,-0.183
0.85,0.135,0.492,0.244,0.427,0.0
0.856,0.138,0.497,0.305,-0.061,-0.183
0.861,0.137,0.501,0.183,-0.61,-0.122
0.862,0.136,0.501,0.305,-3.234,0.061
0.847,0.133,0.5,0.183,-2.929,-0.122
0.848,0.135,0.502,0.122,-0.732,-0.427
0.85,0.135,0.496,0.122,-0.122,-0.244
0.851,0.135,0.502,0.305,0.061,-0.244
0.854,0.135,0.499,0.305,-1.159,-0.122
0.855,0.134,0.505,0.305,-1.586,-0.427
0.846,0.133,0.507,0.061,0.976,-0.305
0.849,0.132,0.503,0.488,-1.098,0.0
0.851,0.133,0.5,0.427,-1.525,0.061
0.85,0.13,0.501,0.061,1.403,-0.427
0.857,0.13,0.497,0.0,1.342,-0.244
0.854,0.134,0.491,0.183,0.732,-0.122
0.855,0.132,0.491,0.305,0.366,-0.244
0.858,0.125,0.495,0.244,0.915,-0.061
0.853,0.136,0.494,0.122,0.793,-0.061
0.857,0.133,0.494,0.122,0.915,0.0
0.861,0.132,0.488,0.183,0.488,-0.183
0.86,0.134,0.491,0.366,0.427,-0.061
0.857,0.134,0.494,0.427,-0.793,-0.305
0.857,0.129,0.492,0.244,-1.403,-0.061
0.857,0.133,0.49,0.305,0.183,-0.122
0.86,0.132,0.498,0.366,0.793,-0.061
0.859,0.132,0.493,0.122,0.732,-0.061
0.859,0.135,0.496,0.183,1.037,-0.244
0.855,0.125,0.496,0.183,0.0,-0.122
0.858,0.125,0.495,0.183,-0.488,-0.061
0.854,0.131,0.494,0.305,0.488,-0.122
0.856,0.128,0.496,0.305,0.488,0.0
0.856,0.13,0.497,0.244,0.61,-0.183
0.854,0.131,0.487,0.366,0.366,-0.061
-0.405,-0.101,0.838,37.17,4.699,2.014
-0.401,-0.083,0.956,16.723,0.061,-1.586
-0.444,0.048,0.943,-0.732,-2.502,-6.103
-0.413,-0.05,0.872,3.295,0.915,-4.15
-0.425,0.002,0.873,3.54,3.845,12.084
-0.386,-0.024,0.958,8.178,9.399,11.291
-0.476,-0.013,0.92,-0.732,-20.874,-21.545
-0.328,-0.317,0.867,39.733,-21.728,-21.179
-0.758,0.278,0.554,-51.757,66.833,-50.842
-0.458,-0.01,0.775,36.437,-19.958,-66.406
-0.389,-0.118,1.034,-10.986,21.179,-59.082
-0.808,-0.157,0.969,1.159,-36.682,-65.368
-0.572,-0.397,0.945,-37.963,-34.484,-24.23
-0.544,-0.117,1.0,-38.94,-33.386,-9.887
-0.439,-0.095,0.825,4.577,-9.399,-36.315
-0.084,-0.233,0.702,5.31,3.173,-4.089
-0.236,-0.377,0.824,-38.452,55.175,19.714
-0.65,-0.016,1.026,-19.165,-54.87,6.774
