a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
252,-121,955,-27465,169799,17883,24416,-19314,-53968,walking
-25,-224,906,-26794,9887,34545,14941,-4737,-66995,walking
-27,-170,1029,3845,-14465,-28625,12754,-10203,-69601,walking
41,3,1135,-14221,69641,-99731,-6195,6195,-59931,walking
-157,-141,800,-14404,25390,-95703,-14941,32069,-54340,walking
145,-493,949,12084,38208,-40588,-32068,42636,-50984,walking
269,-265,683,3540,-18371,-35461,-27696,91105,-26053,walking
353,-131,845,-16723,7263,2258,-16398,110419,-33870,walking
403,-131,625,-4821,-81787,-16540,-19678,101673,-42058,walking
620,-150,597,25756,82519,9338,-13483,93292,-51741,walking
733,-28,677,6591,-41442,5432,-2915,88555,-58069,walking
536,-193,823,-35888,53466,-5065,-11661,86004,-57697,walking
430,-219,1087,-8239,13061,11596,-26967,100218,-39839,walking
39,-91,1049,23376,-5615,-38269,-53205,112242,-23451,walking
251,-109,1049,-4028,-19104,11474,-53569,114427,-24562,walking
92,-130,811,15563,2990,-32531,-52113,117345,-19358,walking
39,-209,763,-15747,27404,35644,-51018,116614,-18237,walking
13,-198,854,-7141,-13488,9643,-60128,112240,-14141,walking
-16,-90,993,-16601,38330,-112731,-52477,117344,-11911,walking
31,-102,1024,6652,41687,-118041,-27332,98396,-17499,walking
135,-203,918,-17395,0,-93872,-41179,76892,-27539,walking
201,-197,829,-2075,427,-22155,-49925,71790,-30144,walking
148,-328,822,6103,1037,23315,-41543,73247,-26419,walking
228,-247,874,-10192,-8972,1342,-41908,72884,-23820,walking
139,-265,983,1220,23071,-9582,-43366,73613,-23451,walking
24,-220,1001,4516,-13977,19287,-49562,74343,-21220,walking
-77,-297,1090,-16540,4699,-16479,-50290,73249,-22334,walking
72,-198,856,16723,2563,24536,-49197,72884,-20473,walking
36,-174,1078,-23010,-55786,-17150,-46283,69606,-24576,walking
72,-100,838,22521,34790,11474,-41180,73249,-31644,walking
-24,-145,821,-19653,-10009,-19042,-37170,77986,-32753,walking
19,-274,881,-10803,4760,3601,-32434,70335,-29042,walking
10,-204,859,-15686,-3234,-3295,-62681,72156,-19358,walking
-26,-335,897,-6591,24230,-4394,-51749,69242,-14895,walking
19,-281,958,-18798,-5432,-22521,-73615,86005,-13031,walking
-66,-71,971,-24719,83618,-153015,-72886,94023,-35744,walking
79,-385,1034,-21240,17822,-64819,-56122,123542,-29042,walking
4,-335,1048,-23315,6774,-46630,-67419,98395,-14519,walking
354,-337,1237,16784,-13488,47668,-65597,124999,-21595,walking
0,-83,1175,50537,45715,73913,-65597,97667,-25318,walking
202,-332,816,-18432,-43090,39672,-71428,94751,-12659,walking
54,-208,1005,-11901,732,-32043,-77988,94388,-17129,walking
49,-234,857,10437,19470,-14343,-77988,97667,-23084,walking
98,-176,811,-18981,11840,-43395,-76166,105685,-17874,walking
-59,-10,1118,-27221,60852,-151672,-68150,119172,-13036,walking
228,-342,978,-21362,19897,-63598,-37536,110787,-12660,walking
30,-260,901,-488,10498,-39733,-41181,96575,-9683,walking
269,-305,981,-3601,-2624,31127,-41909,86370,-7819,walking
162,-205,736,23193,15441,23742,-90015,84185,14896,walking
174,-227,894,244,-27282,87402,-78719,126460,5214,walking
-9,-300,946,-7812,-24169,41381,-77627,120631,-11176,walking
112,-311,950,-10559,11901,-488,-73983,116259,-10432,walking
132,-323,1165,-11169,-42541,23437,-70337,122088,-10430,walking
-8,-285,1041,-1159,4272,-1037,-75439,115528,-5587,walking
280,-264,916,-6713,-46630,22521,-72525,116624,-5589,walking
47,-162,874,20080,15686,-38635,-72890,118446,-7079,walking
-66,-250,768,-19470,-15136,1708,-70338,116987,-6706,walking
154,-249,916,-6713,3784,-13610,-61954,119900,-4842,walking
19,-272,971,-4028,19836,-30822,-64505,120993,-9310,walking
124,-316,1224,-2380,-1953,-1342,-54302,122088,1117,walking
-93,-123,1008,5187,65307,-101989,-45190,115162,-8193,walking
48,-321,936,-15441,-21667,17761,-39359,106415,-4096,walking
61,-164,837,5615,2624,-28015,-42275,104594,-12663,walking
-191,-302,824,-33020,-915,-43701,-37902,106417,-7822,walking
-2,-298,861,-17700,24475,-83618,-48106,85279,-16390,walking
122,-252,868,-11657,31127,-95581,-64143,80908,-16396,walking
99,-284,913,183,30822,-41687,-78721,90748,-13042,walking
240,-151,919,2624,-6774,85876,-86008,86737,-9685,walking
-5,-213,1093,-12268,-57434,121032,-63413,76897,-11547,walking
189,40,1070,42419,-13000,100219,-44826,89652,-5587,walking
215,-247,1025,2197,-47851,102172,-48470,113704,-1489,walking
71,-263,1000,20751,-4089,26062,-61955,119538,745,walking
-234,-143,900,-14892,68725,-115417,-51386,123181,6705,walking
-30,-246,1180,-10620,24230,-97961,-47012,98398,-2979,walking
231,-178,1043,-25695,2868,26184,-53208,94390,-3724,walking
-55,-100,960,-15686,-35339,147827,-49199,116619,-4096,walking
-8,-237,898,-3845,-20080,99426,-78354,118078,-1489,walking
-34,-276,872,-7751,-23681,58410,-86007,111883,1489,walking
-6,-355,782,-2075,-3601,33569,-87099,99490,-2606,walking
109,-230,951,10437,7873,19714,-88194,96212,0,walking
91,-249,869,6408,-15686,74157,-81999,83092,-8194,walking
81,-286,918,-10742,-15380,55175,-79083,82363,-7821,walking
-63,-386,953,-24230,-3051,12939,-64871,77991,-11176,walking
193,-284,1241,35766,4516,36621,-60134,81272,-16022,walking
-10,-223,968,-9277,5737,-27954,-57947,79813,-13784,walking
208,-291,1054,5493,-19470,36499,-53208,79448,-7076,walking
33,-140,766,18066,12023,-16662,-55395,80178,-12294,walking
73,-205,826,-9033,-2990,12695,-48835,75440,-8568,walking
33,-315,821,-19104,-15808,-8239,-52480,78721,-9315,walking
70,-316,921,-2502,17578,-9704,-50657,80542,-11175,walking
64,-278,907,-2990,4577,2807,-40453,83457,-11547,walking
41,-242,1045,-19653,28198,-65246,-37538,74713,-7452,walking
236,-420,1268,-17517,-6286,-35278,-57945,99855,-3351,walking
144,-218,1268,16540,30334,-68115,-73983,97308,-3353,walking
159,-126,780,28869,5493,49682,-79815,100224,-3353,walking
-49,-164,929,-35095,17150,-64514,-85645,103139,-2608,walking
-79,-185,842,-9643,30151,-82397,-81638,117355,745,walking
62,-130,943,6286,45776,-113891,-49200,121726,-4098,walking
101,-362,900,4272,10437,-52307,-43734,108970,0,walking
112,-285,925,1098,4455,-6713,-46285,94029,-2608,walking
107,-341,964,-8178,23498,3234,-60863,88561,8942,walking
173,-369,1118,-11291,-70739,116577,-76535,123186,24225,walking
54,-165,1017,5371,6164,13916,-86011,129745,10434,walking
33,-166,594,7324,-11901,44555,-75079,123188,1863,walking
-71,-247,953,-25817,-20141,-20019,-75807,122094,2609,walking
51,-219,860,16418,12084,29357,-74714,120271,1118,walking
98,-212,801,-21728,-14648,-29602,-76898,124640,6333,walking
-99,-325,875,1464,-17272,32836,-80545,115898,5591,walking
228,-325,857,-7507,-10375,-14892,-70704,125737,2981,walking
-30,-430,949,671,17272,-8605,-80544,119906,1490,walking
94,-536,1043,-9948,-4821,15014,-68881,125006,9687,walking
-105,-182,1479,8483,20996,-81787,-72890,122456,5589,walking
120,-162,1183,9277,-17456,37414,-64509,123187,9318,walking
-132,-48,912,5798,28320,-86730,-56856,124646,8201,walking
-73,-386,986,-21667,-19897,19714,-49567,121001,10065,walking
-70,-273,889,-43884,7873,-89538,-47015,112982,5218,walking
68,-258,767,21484,15930,32104,-43005,111522,7080,walking
165,-205,843,16723,38269,-54260,-43369,106056,2608,walking
12,-170,861,-11535,11535,-40527,-41184,107881,4846,walking
65,-112,891,-20874,12390,-105712,-58678,82368,-9318,walking
308,-359,745,-7141,-19226,-47607,-74714,85283,-6336,walking
107,-244,721,-20202,8728,-57434,-88564,99498,0,walking
10,-295,703,12023,-10925,40710,-84920,96947,-1863,walking
116,-269,830,-16235,-24047,30639,-87472,92575,-2610,walking
-93,-422,982,2685,-11718,26977,-71799,80182,-5964,walking
124,-329,1072,6591,-17517,57312,-73620,83096,-4472,walking
-63,-382,1182,-7019,8483,-15075,-62688,81276,-3728,walking
234,-427,1191,-14099,-20019,56335,-60864,84554,-6709,walking
-111,-407,889,-30517,3601,-19165,-55397,93301,-1863,walking
87,-405,1001,10070,8117,16784,-60499,88563,-9317,walking
-1,-460,994,53833,15075,-76416,-56126,89657,1118,walking
-3,-187,874,7141,10620,11169,-57585,84191,-1118,walking
71,-258,756,-14953,-10314,-13122,-63052,80182,-6710,walking
-47,-340,919,671,18371,8361,-53211,86377,-8945,walking
49,-330,895,5981,1953,-7263,-47744,93302,-9692,walking
11,-416,945,3356,18432,-3173,-32436,86012,-12300,walking
104,-279,1055,9887,-9948,15197,-65967,79817,4473,walking
-75,-385,1046,-15258,16235,-21606,-53211,84190,-2981,walking
163,-456,1255,-3662,-30517,24353,-78360,88929,5965,walking
108,-190,1031,20141,13854,55541,-66334,101323,-11560,walking
133,-249,921,44616,-85998,140869,-65603,111890,-6710,walking
-131,-200,891,23986,-17761,25085,-51753,112619,8946,walking
394,-14,911,-427,305,-61,19320,33537,-66151,stable
394,-13,913,-549,427,-183,17497,36454,-64291,stable
397,-21,915,-671,183,-305,17133,35726,-67305,stable
394,-22,907,-549,549,-122,15675,35360,-64298,stable
395,-23,914,-427,366,-244,14217,36819,-65436,stable
399,-22,905,-488,305,-183,18591,32444,-69158,stable
399,-24,909,-549,305,-183,16768,36818,-70263,stable
395,-23,914,-488,732,-61,16039,36454,-68037,stable
389,-14,915,-549,183,-244,18227,34996,-66915,stable
400,-18,915,-305,2746,-61,19320,35360,-69532,stable
399,-19,915,-549,-61,-122,17862,36818,-68776,stable
-4,20,1005,8850,120910,976,-4739,35360,-69897,stable
-269,15,961,-4760,37719,793,-27705,33903,-62437,stable
-122,25,986,-3601,6835,4394,-22237,31350,-70653,stable
-83,34,966,-61,-5798,915,-20779,28799,-67671,stable
-20,42,980,-244,-7141,8117,-14946,29893,-75906,stable
39,44,989,-1464,2807,0,-14217,29893,-74027,stable
17,49,984,-1037,-2136,9216,-19686,26612,-72175,stable
23,55,1000,2014,-2075,1525,-16040,24789,-69549,stable
9,55,1002,305,-3845,-732,-20414,24060,-73662,stable
27,60,997,-122,-2014,-488,-18227,28070,-72914,stable
23,58,1000,-488,1892,-366,-17863,26248,-74811,stable
15,51,993,-427,-3601,-549,-17498,26248,-74793,stable
2,57,976,-549,-1220,61,-19686,26613,-70322,stable
9,49,1008,732,3967,-183,-18227,28070,-69931,stable
10,50,998,-1708,-9765,-1037,-18956,25883,-70671,stable
27,46,994,-183,10803,-976,-16769,27342,-70322,stable
-63,62,990,-1281,8300,2990,-22967,25883,-77046,stable
-7,83,1027,3417,36071,9094,-26248,24061,-74072,stable
-127,85,989,183,5432,17333,-31719,23698,-66631,stable
-75,58,983,-10559,-17944,14343,-33542,15677,-67388,stable
-92,98,1002,-4821,6225,1647,-34637,18230,-70791,stable
-148,76,977,5126,-3723,-1647,-36825,18230,-62933,stable
-152,73,968,-2014,4394,-10192,-39379,14220,-65588,stable
-72,140,969,-17028,5981,62805,-38651,4011,-67111,stable
-117,82,976,5065,-11230,-4272,-41205,8386,-72012,stable
-131,84,998,-2380,488,-122,-40112,9481,-66785,stable
-71,85,987,1708,976,-244,-37561,6199,-69054,stable
-121,74,983,366,9521,-2990,-39751,8752,-71340,stable
63,65,963,-1220,-18859,-671,-25892,11670,-76221,stable
154,57,973,-2868,-5676,854,-20423,12399,-72878,stable
68,101,984,4882,33508,-1098,-29905,9482,-74756,stable
-108,83,951,-10070,25939,23498,-40118,3282,-74014,stable
-107,57,702,-32043,14770,1037,-32094,4011,-81904,stable
10,27,1002,0,-3234,-2624,-32459,5106,-79283,stable
-31,59,972,-1708,-6286,244,-30271,3282,-77405,stable
-92,41,1031,-6042,24108,7019,-27353,3282,-65389,stable
201,41,884,5737,-11840,-1708,-17506,4376,-65772,stable
241,4,961,-3845,-24475,7385,-9482,5470,-65756,stable
57,10,993,-1281,5981,793,-18235,5106,-66516,stable
69,10,998,-1098,10131,1464,-18236,4741,-67660,stable
85,5,995,305,-549,-4821,-13495,6929,-65421,stable
64,22,984,-1831,-3234,2014,-18236,4741,-63157,stable
81,31,988,1831,1342,1403,-16777,5470,-65405,stable
88,42,1004,-366,-7202,-2014,-16047,4741,-65013,stable
77,56,988,3723,-9338,39062,-13859,-1823,-66140,stable
132,45,977,2502,1281,793,-13130,-7294,-69155,stable
131,49,985,-1159,3417,-2075,-10941,-8024,-67284,stable
140,43,979,-1342,-11718,-610,-10941,-6929,-62766,stable
138,55,981,183,1464,-1647,-12035,-5835,-65764,stable
131,49,982,-671,1953,-183,-11670,-6564,-66140,stable
130,45,994,-1464,305,-61,-11306,-6564,-68395,stable
102,55,986,366,1647,-1098,-13859,-6565,-66908,stable
69,67,977,1953,9582,-305,-16048,-5835,-63149,stable
6,75,1007,1403,4150,0,-21518,-8023,-62750,stable
3,60,1000,183,1159,-427,-18600,-7658,-69881,stable
36,68,982,-976,-3845,-2380,-14953,-8753,-66524,stable
61,63,990,-793,-7202,-3051,-15318,-8388,-66516,stable
66,74,1003,-366,915,-183,-17870,-5470,-65381,stable
64,78,990,976,2990,549,-18600,-8023,-63517,stable
65,61,993,-1159,1342,-1403,-16777,-7294,-69147,stable
68,67,980,-610,1708,427,-15318,-7294,-66148,stable
68,72,987,-732,549,549,-16048,-7294,-64669,stable
72,72,980,-671,-1220,-488,-16412,-5835,-65780,stable
67,62,980,-1464,-2990,-671,-15683,-7659,-63165,stable
41,78,987,-61,2502,427,-16412,-6564,-65013,stable
20,67,997,1159,-2563,244,-16412,-7294,-61255,stable
32,67,986,-610,-2319,1403,-21519,-9483,-68044,stable
39,80,990,549,854,610,-15682,-10576,-64261,stable
44,69,993,-1647,610,-3845,-17141,-7659,-67652,stable
61,83,987,122,-5187,-5859,-17142,-7659,-66933,stable
53,67,992,-1281,2929,-3356,-17142,-6929,-62781,stable
47,88,994,915,2624,5249,-16048,-7659,-70667,stable
66,81,995,183,3112,610,-15683,-8024,-66908,stable
48,88,1003,305,2929,305,-18965,-6200,-66148,stable
57,94,998,1403,3295,1403,-17142,-7659,-66908,stable
38,94,999,-1159,1831,3295,-18236,-9847,-66156,stable
37,70,981,-732,-2990,-366,-18235,-8388,-66140,stable
54,92,974,-2746,-793,-1037,-19330,-7294,-63901,stable
62,75,988,-854,305,61,-15318,-8388,-66140,stable
64,83,995,-610,-1342,-61,-17142,-5835,-65405,stable
62,88,992,-366,-3051,-366,-14224,-7294,-66524,stable
56,93,987,-488,-2685,244,-15318,-6564,-65389,stable
61,91,980,-549,-854,-549,-14588,-8023,-61631,stable
64,78,985,-1403,2868,-244,-16047,-8753,-63517,stable
56,57,996,-122,1525,671,-17506,-6929,-63134,stable
61,75,1026,-3723,-4333,7507,-17142,-9847,-64661,stable
61,33,1008,-2014,10681,-3601,-14224,-7294,-65413,stable
79,-1,1020,549,7141,-2990,-14954,-6200,-62029,stable
98,75,1082,5920,10131,6591,-16048,-6200,-62397,stable
68,58,988,793,2502,-1098,-14588,-8753,-70650,stable
62,33,1002,-671,4394,1586,-14953,-6200,-64277,stable
61,76,1006,-1770,12695,7568,-13859,-7659,-63533,stable
73,62,1001,-6408,-16601,-3356,-10577,-8388,-66164,stable
102,47,990,-1525,-9704,-2502,-10941,-10576,-69155,stable
124,49,982,-854,11230,-2014,-12765,-4741,-66892,stable
127,57,985,-1037,1831,2075,-14224,-6929,-65780,stable
100,71,988,549,366,2746,-13129,-7659,-69898,stable
80,51,976,366,-6408,-1770,-16047,-6200,-64253,stable
97,52,983,-610,1098,244,-12036,-8753,-70291,stable
104,59,977,-1281,-2075,976,-10577,-8753,-66532,stable
113,55,973,-305,488,1647,-10941,-8023,-65397,stable
86,41,985,915,4150,-2136,-14224,-8753,-69548,stable
78,61,1003,-2014,-7019,-3967,-13130,-9483,-70300,stable
133,46,998,-1647,-16967,244,-9847,-8388,-67284,stable
232,181,966,19042,-40344,-16357,-13495,-8388,-63909,stable
95,74,947,-1647,11474,976,-13859,-8388,-72564,stable
81,67,989,-1892,671,-1525,-14954,-9118,-66540,stable
78,52,995,854,-427,-610,-14954,-6929,-65797,stable
83,53,979,183,183,976,-13860,-8389,-69958,stable
70,60,996,-732,976,-854,-13130,-8753,-66549,stable
72,11,999,-1831,-610,-4333,-16048,-9118,-68437,stable
82,67,993,427,-1647,488,-14224,-9483,-66933,stable
88,58,905,-244,-5065,1159,-14224,-6565,-66925,stable
87,35,983,-427,7751,-122,-14225,-6930,-68069,stable
83,61,980,-915,427,1647,-13859,-7659,-64669,stable
76,57,999,183,-1220,1220,-13860,-8753,-66557,stable
68,59,988,-549,-61,-366,-13495,-10942,-66565,stable
72,56,985,-671,1831,671,-14589,-7294,-65429,stable
70,51,994,-61,-610,-793,-14954,-8024,-71060,stable
69,60,984,-671,-1708,61,-13860,-7659,-67309,stable
74,52,988,-122,1892,-549,-14954,-6929,-72564,stable
66,49,989,-366,1220,488,-15684,-9483,-65445,stable
70,61,985,-305,-1159,-122,-14589,-8753,-66573,stable
76,52,990,-610,549,-183,-14954,-10577,-67325,stable
80,65,1000,-61,1098,-671,-16048,-8024,-68813,stable
81,64,1001,549,1159,-610,-15319,-8389,-66573,stable
88,71,982,-549,-1831,-122,-12766,-9848,-69591,stable
95,63,985,-488,915,-1159,-13860,-9118,-68454,stable
84,61,979,-488,305,-61,-14590,-8389,-67334,stable
73,61,989,-61,1342,1098,-13860,-10213,-66581,stable
72,64,990,-122,1953,-305,-15319,-8389,-69223,stable
75,67,983,-610,-671,-305,-15319,-9848,-65077,stable
68,69,988,-427,-2624,-732,-14225,-9483,-71104,stable
68,80,988,-122,-1403,-1342,-12037,-9848,-68847,stable
79,80,981,-427,-1892,-488,-13495,-9483,-69958,stable
87,71,983,-488,3417,1159,-12401,-9848,-64685,stable
78,69,980,-610,5859,-427,-14225,-9118,-69206,stable
82,73,989,-976,2990,122,-13131,-8389,-68470,stable
71,65,994,-427,3601,-549,-14955,-10577,-66966,stable
68,72,995,-488,854,-183,-12766,-9118,-66213,stable
73,68,984,-915,549,-183,-12766,-9483,-67342,stable
73,75,989,-915,2563,-244,-14955,-11307,-69599,stable
78,72,985,-793,3479,122,-12037,-9848,-65837,stable
78,68,1003,-427,-244,-61,-14225,-9483,-71463,stable
75,71,1000,0,610,427,-14225,-11307,-63956,stable
68,81,986,305,244,15747,-11307,-12766,-62835,stable
75,71,981,-183,-305,7507,-11307,-14590,-65093,stable
75,73,984,-793,3540,-915,-14225,-16049,-64724,stable
55,72,991,-1098,-61,-1892,-14225,-14225,-68103,stable
87,77,979,122,-488,-8361,-15320,-13131,-67735,stable
97,78,995,-1647,-2685,-7812,-11307,-12766,-65477,stable
102,83,980,0,1220,-2136,-11308,-11672,-69265,stable
95,70,979,-1464,-671,-4211,-14590,-11672,-66213,stable
105,78,982,-3967,-1037,-7629,-13131,-10943,-68504,stable
103,47,989,-1647,1831,-1892,-11672,-6201,-65116,stable
92,47,1007,-1098,1281,1647,-15685,-7660,-66262,stable
91,43,984,-1464,-2014,-4272,-12767,-5106,-67743,stable
94,58,985,2197,-793,-854,-13496,-4742,-65116,stable
110,57,989,1464,5798,-1403,-13861,-7295,-69240,stable
87,49,997,-427,4211,-366,-12767,-8025,-68880,stable
76,47,974,-854,-366,-366,-16414,-6930,-67367,stable
79,53,1005,671,1403,1403,-16049,-6201,-70369,stable
71,58,996,-244,671,-183,-17509,-7295,-67375,stable
86,64,989,305,-244,-122,-15685,-6930,-69992,stable
93,68,986,-793,-427,122,-15320,-4742,-65861,stable
62,63,992,-122,3112,2990,-12402,-5836,-65509,stable
62,54,991,61,-2319,1098,-17873,-7660,-66606,stable
77,65,984,-610,61,1708,-14956,-9484,-67015,stable
72,54,998,-1098,4211,1708,-13861,-8025,-70027,stable
83,177,931,-1464,3479,366,-13132,-9849,-66630,stable
100,67,994,-122,3234,-2990,-10943,-7660,-67375,stable
94,41,993,-4638,-4638,-12023,-12767,-7295,-70010,stable
72,64,982,-1220,5798,-1892,-16050,-4377,-68136,stable
28,83,986,3356,7385,24719,-16414,-8754,-69625,stable
-19,77,995,793,7995,13732,-16780,-17145,-65517,stable
-5,78,981,-2075,-6652,-12023,-16779,-13496,-68889,stable
13,65,985,-1708,-3723,-5798,-16415,-11308,-64372,stable
70,5,1010,-1708,3967,-2319,-12402,-6201,-66254,stable
52,47,1004,9277,-2075,-3967,-13861,-4742,-68521,stable
52,71,994,2319,4638,-1586,-16050,-10943,-67375,stable
44,86,979,-915,1586,-1770,-17144,-12037,-68880,stable
32,64,1003,-183,366,-2807,-16780,-10214,-71918,stable
41,71,985,-1342,-61,-1892,-14956,-9849,-66630,stable
73,77,993,-915,-2136,854,-14226,-11308,-68880,stable
66,65,1000,-244,-3784,7446,-13862,-12038,-70412,stable
84,54,993,-1770,-1647,1770,-12402,-11672,-69265,stable
111,40,1012,-549,4821,1770,-10943,-10943,-72653,stable
69,55,985,-1342,-1281,-427,-13497,-8390,-68914,stable
106,53,988,-1281,-854,1281,-11673,-9120,-66294,stable
84,37,991,305,427,-549,-13132,-12402,-66638,stable
92,56,985,-854,-610,-549,-12402,-11308,-70780,stable
106,53,986,-183,1342,2258,-9119,-10214,-67040,stable
109,47,985,-1098,4028,-366,-10943,-9849,-67023,stable
131,58,986,1770,-8117,-915,-9849,-10943,-65894,stable
113,63,989,244,4943,-1525,-9849,-11673,-65148,stable
113,58,988,-61,2075,-732,-10214,-10214,-69282,stable
114,57,997,-122,-427,-427,-12767,-12403,-68914,stable
119,61,984,-488,-671,-671,-10579,-9119,-64772,stable
118,65,979,-732,366,-3417,-9119,-10943,-68169,stable
138,49,963,-1464,-7263,-8605,-11673,-10579,-68161,stable
200,80,1004,793,10742,-3601,-9849,-7295,-72689,stable
139,102,968,-2563,-2746,2685,-9119,-12402,-75683,stable
172,73,951,-4089,7751,-11047,-9119,-7660,-71927,stable
138,55,1017,-2868,-3112,-3906,-13862,-7296,-79101,stable
122,77,962,-549,-4089,-122,-18605,-5836,-89648,stable
88,16,1009,-122,5310,1831,-19334,-6201,-87754,stable
0,56,971,671,-13916,9033,-19334,-2553,-82115,stable
29,78,1023,-1098,15014,244,-20793,-5836,-88518,stable
-8,68,999,1647,-6774,-61,-26265,-7660,-83245,stable
35,73,980,-1220,10009,-122,-18969,-7660,-86635,stable
-80,42,995,9826,6164,-13732,-33563,-1459,-79884,stable
-36,73,1003,5187,854,-488,-31009,-4377,-80261,stable
25,23,990,-1525,3723,-488,-23712,-1459,-80251,stable
41,12,1002,-1342,244,-1464,-23348,2553,-87808,stable
56,10,993,-1342,1953,610,-20429,729,-82115,stable
113,6,1003,-1525,-9338,122,-17146,729,-81371,stable
137,6,994,-305,1342,0,-17145,2553,-79478,stable
150,6,988,-3173,-10925,1708,-12768,4013,-82909,stable
173,-20,973,-5432,-3173,2197,-13863,3648,-82155,stable
172,-27,978,-854,2563,-122,-13133,4377,-85903,stable
195,-26,965,-1098,-2258,-122,-10944,5107,-82889,stable
192,-23,974,-732,1770,-183,-12039,4013,-81391,stable
180,-21,972,244,2136,0,-10579,3648,-85547,stable
171,-20,979,-854,11657,1281,-12768,3283,-83276,stable
127,-20,991,-793,3417,183,-14957,1094,-83642,stable
125,-14,1022,1892,-56335,-3845,-16052,1094,-79507,stable
124,-13,1001,3112,1037,122,-17511,1459,-85160,stable
67,3,1014,2136,33203,5554,-20795,729,-79914,stable
189,17,982,5310,-13732,-20690,-14228,1824,-84427,stable
244,-48,1012,-8483,3417,488,-14228,5472,-79140,stable
161,-47,928,1708,-5126,16662,-9485,5472,-82542,stable
65,-18,983,12939,-2929,-1647,-21160,3283,-77652,stable
114,14,978,-2258,7080,2807,-19335,0,-80658,stable
85,-14,984,-854,-3967,-549,-22619,2188,-80271,stable
73,-15,988,2685,-732,244,-23349,1094,-80291,stable
67,-21,987,-1220,-2990,-671,-24443,1094,-81778,stable
62,-22,997,-1586,-5676,-2380,-25172,-729,-80648,stable
86,-19,995,-2197,-3662,-854,-20065,0,-82165,stable
58,-17,994,-854,4089,-610,-25172,2553,-80648,stable
86,-17,865,-10803,22827,-488,-23349,3648,-79160,stable
107,-25,984,-1831,-15747,-1770,-21889,3648,-80668,stable
19,66,1002,-549,793,488,-25902,-5472,-83296,stable
36,41,994,0,-3051,-61,-28091,-2553,-82145,stable
79,6,1037,-4150,-4577,-488,-26997,-4742,-77642,stable
80,82,991,-2441,-366,2746,-25902,-1459,-82165,stable
34,23,1001,-5554,7446,1586,-26267,2918,-78773,stable
20,48,1015,3051,10925,-183,-27727,2189,-76907,stable
3,30,997,-1647,-1831,183,-31375,-364,-78029,stable
-18,60,997,-1098,2929,-183,-32470,729,-78415,stable
-13,41,993,122,14343,5920,-31741,-1459,-79556,stable
-12,41,990,8056,10498,1831,-32105,3648,-77661,stable
35,101,1040,13732,11108,1342,-31012,-2918,-79576,stable
-3,78,1005,-8544,2258,-671,-32470,-5107,-80668,stable
78,47,1004,-4211,-34912,-732,-23715,364,-83337,stable
153,41,981,-549,1647,-244,-17512,2918,-85212,stable
158,36,986,-427,122,-122,-17877,3283,-79963,stable
157,31,983,-488,122,-122,-17147,1824,-76917,stable
165,32,978,-671,183,-183,-18242,1824,-81819,stable
155,30,973,-488,244,-244,-18607,2189,-80697,stable
159,38,974,-549,366,-183,-18607,1824,-84091,stable
161,31,977,-549,305,-183,-19337,3283,-79953,stable
165,35,980,-549,244,-244,-17148,1824,-85233,stable
153,32,977,-244,305,-244,-17512,1094,-85977,stable
159,30,982,-488,305,-244,-16783,3648,-83735,stable
159,31,979,-488,305,-244,-17513,2553,-78831,stable
164,34,984,-366,488,-183,-17877,3283,-78812,stable
163,29,977,-488,244,-183,-18607,-729,-79953,stable
161,28,985,-427,244,-183,-17877,3648,-79199,stable
166,30,984,-366,122,-122,-18607,1824,-82226,stable
6,50,991,1953,42175,1525,-26999,0,-70919,stable
-24,49,999,-366,-3967,-793,-34296,729,-78454,stable
-44,78,935,1037,-10803,-3173,-34660,364,-74664,stable
-22,49,992,-1220,-3967,-122,-32107,-729,-75437,stable
-16,46,983,366,1525,-244,-31742,0,-75804,stable
-37,48,993,366,-1403,61,-31377,0,-82603,stable
-27,51,1002,-488,-2563,-122,-32837,0,-73560,stable
-21,44,997,-244,-1342,-244,-32472,-364,-79208,stable
7,42,993,-2380,-14770,-366,-31378,1824,-81879,stable
25,40,990,-61,-5554,-61,-28460,729,-75106,stable
11,41,995,-976,-4150,122,-31014,1824,-76219,stable
226,-78,720,-10375,-144775,1403,-20432,1459,-78106,stable
40,43,998,2075,488,-488,-28095,-364,-78502,stable
62,31,956,854,1464,3906,-28825,4743,-80379,stable
13,57,989,-549,-793,122,-27365,-1094,-80379,stable
279,9,946,-1586,-9887,-427,-9122,2919,-82287,stable
252,17,955,1708,4516,3051,-10216,2554,-81889,stable
259,23,964,-2075,-6713,366,-10581,2918,-80370,stable
261,7,938,-5004,-9155,-915,-10216,3648,-82276,stable
321,17,865,854,-18310,-3356,-5838,4743,-84908,stable
105,-24,1071,-19287,-5737,16784,-27366,2554,-76993,stable
-95,22,1100,22216,-3540,9033,-33570,1094,-71366,stable
-82,19,977,-4760,13793,8544,-33205,-2189,-69839,stable
-70,47,971,1525,-2868,793,-34665,-6203,-72113,stable
-70,75,995,7690,-10253,-16235,-35029,-4378,-67582,stable
-25,67,983,7507,-5065,-1586,-34300,1094,-74001,stable
-60,4,1024,2258,-2929,1831,-31747,-1094,-74037,stable
-86,-14,962,-4577,-3662,-6164,-33573,364,-69530,stable
-61,-11,991,-24169,-19287,3417,-34666,-364,-71393,stable
-123,1,984,2258,2258,-9643,-36492,364,-73291,stable
-148,-5,1024,732,-2258,6469,-35032,3284,-74046,stable
