a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
-183,-63,979,10986,-12145,25512,-2188,-4740,-69463,walking
-11,-171,915,6835,915,16601,4740,-7293,-70589,walking
169,-190,812,-10925,-33752,64758,2188,-6929,-74719,walking
321,-256,1051,22094,-14953,26672,25893,4376,-24787,walking
254,-264,1267,4821,-4760,10498,24070,-4741,-54088,walking
-4,-249,1097,11718,-21423,8422,20422,3646,-51071,walking
-15,96,1391,25329,-16174,-29663,21152,-3282,-52955,walking
-16,-58,835,-34423,39123,-91430,12764,-9117,-57823,walking
-27,-58,861,-13732,23620,-122375,-6929,-6200,-57858,walking
77,-183,815,-20141,25390,-99548,-21517,9117,-56710,walking
67,-138,1024,-11840,18554,-76293,-10211,24069,-55577,walking
-24,-234,990,-5249,1525,1586,-5835,29176,-54839,walking
160,-206,1073,-8361,13244,29846,-13858,27716,-54068,walking
12,-85,1000,-6958,-13305,91613,-17870,14952,-57837,walking
-18,-351,889,-1037,13305,-244,-19328,6929,-56321,walking
-60,-226,999,-5065,-2929,9643,-16775,5105,-57433,walking
114,-300,973,-9521,14038,488,-14222,4740,-57072,walking
309,32,1250,24230,-18371,137634,-9116,-1094,-58177,walking
52,-387,905,4333,-6164,38635,14587,-6199,-59310,walking
92,-167,979,-3906,3662,20996,22975,-5470,-56321,walking
183,-163,862,-4028,3662,59692,25527,1094,-58552,walking
-10,-284,829,-2990,-3234,39245,28444,5834,-57051,walking
76,-222,875,5310,4211,-6286,32455,12398,-52165,walking
-40,-131,944,-7263,2502,-30761,29903,5834,-56294,walking
-26,-145,903,1403,9521,-43273,30267,-2917,-56669,walking
34,-151,1006,-3662,1892,-10498,23703,-8752,-55550,walking
80,-233,1059,-5371,21667,-13061,20786,-9116,-57044,walking
167,-364,863,-4211,-244,8728,22974,-12034,-57419,walking
-15,219,1615,3967,-10559,4943,18233,-6564,-57788,walking
126,-158,849,-5187,-793,11047,25526,4375,-61908,walking
5,-48,1047,-3112,-732,-28076,45583,-3646,-69420,walking
160,-88,957,7080,-15502,27465,15315,-11304,-55529,walking
55,-108,862,-13305,3356,-29418,16410,-9481,-58538,walking
-8,-172,861,-10437,22033,-66528,-7293,-364,-53298,walking
-126,28,846,4577,44372,-115234,-729,35736,-70537,walking
93,-121,951,7995,9643,-59265,-2187,7657,-52896,walking
-60,-11,907,-19897,36865,-80261,-7293,31726,-66426,walking
296,-313,837,-9399,-28991,4150,-17868,14951,-47269,walking
123,-1,1181,4455,-39306,27038,-31725,28443,-42022,walking
15,-49,907,-11840,-13549,36560,-17503,26984,-55898,walking
359,-175,1174,-34606,37475,-73669,-5105,35372,-53660,walking
102,34,962,7324,27465,-11047,-8387,31724,-55516,walking
-120,-149,806,-55480,31616,20812,-29172,30266,-53640,walking
-214,-66,734,5981,-610,31188,-19691,22608,-64135,walking
-154,-231,878,2868,33203,-8605,-21514,29172,-61893,walking
-207,-371,1104,10131,1464,-33264,-21879,28807,-53634,walking
